title,price,total sold,link
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,$16.89,9,https://www.ebay.com/itm/Automate-the-Boring-Stuff-with-Python-Practical-Programming-for-Total-Beginners/254719880507?epid=201642099&hash=item3b4e7ced3b:g:yssAAOSw4CFYqMhs	
Python Programming: An Introduction to Computer Science - Paperback - VERY GOOD,$9.41,6,https://www.ebay.com/itm/Python-Programming-An-Introduction-to-Computer-Science-Paperback-VERY-GOOD/274250145369?epid=92388121&_trkparms=ispr%3D1&hash=item3fda951e59:g:KXQAAOSwOjtfWojN&amdata=enc%3AAQAFAAACcBaobrjLl8XobRIiIML1V4Imu%252Fn%252BzU5L90Z278x5ickkY3FSd4Ad8xn3oRtkVexxrMvSUeVwD%252FaQp9YtntTRrYbgQ%252BYVUhH03osj1ivsowOWE%252FEodt5mlUCCV0ShcKgzFGtTrl59SInCgv83qXlhl8YxE8m1gftNscXxHG4dHUFCcnLbGecwRgAyIu0sqDnOHrC5fkQMDMBM8y2cbI9zSAwmVhc0UBu5M8iMtrRyvZc8JwAQuHkqAZ9x6gakcmiaWj4fl0oG5VoodydGCa7cOEh39RKMzSxKk%252BNik2liuDZ4dv5x4aiQtGIFTRH3RvYfIhvuqa%252BDIrEZL3CoE1LwRmlfiAxh7mUM%252B7HG9zAcggONhJlz37Rxms9Ph1fF6baqCLjPm%252BQPBHhTm2mNNo5Kz8Jidh1bXWoInuPXksJdTzrAKpGsOrJDYQCfOAROxfBVUFUq3nFWgzP2NiYbPpB1rxqNHuta%252BQLJ%252BR7ro1c%252Bz3eIIpgEHD4MhgisEEKgfxd%252FDuhoUDR0YITyXJR5QZH8q8lZro8FCyZSVDDHWyDxsGdW%252FtR5Dc0xq2QC5wK45w9qOmbtuHhx26xLRsByakvt7ZwZKMQykxyV4tTvBHRjniMUXIB7qlKbvPGXqSRX%252FB89RenMsHHALtlFqW6VjMRTS5nFAhHIFdniPAdWFWaoC0zdHURDmAgqAkrkGAkxtG%252FoIm3Yj%252BCO05BXOVjcem1eenNehSO7cMKI59jYoDAgsn%252B0PFx5UBZuCR1894dHny5qbuWMMNagbWzfb6ofEPW43WvjmYFL7cR4SUMN9pJ3XUbWwpM6j%252Bhmr0nQlB28rY02Fg%253D%253D%7Ccksum%3A2742501453699d2ad96f7e0c47d5b01f81bcbe379c53%7Campid%3APL_CLK%7Cclp%3A2334524	
Learning Python : Powerful Object-Oriented Programming by David Ascher and Mark…,0,0,https://www.ebay.com/itm/Learning-Python-Powerful-Object-Oriented-Programming-by-David-Ascher-and-Mark/143781062450?epid=981047&hash=item217a04e732:g:H2AAAOSwU8hY6Gie	
Python for Biologists: A complete programming course for beginners,$19.99,0,https://www.ebay.com/itm/Python-for-Biologists-A-complete-programming-course-for-beginners/224195486061?epid=202448455&hash=item343317a16d:g:R48AAOSwscFfiHv9	
Beginning Programming with Python For Dummies 2nd Edition + Gift 🔥 Read Desc 🔥,$4.50,0,https://www.ebay.com/itm/Beginning-Programming-with-Python-For-Dummies-2nd-Edition-Gift-Read-Desc/383766287164?hash=item595a40d33c:g:zU8AAOSwNsVffKhI	
Python Programming: An Introduction to Computer Science,$5.70,0,https://www.ebay.com/itm/Python-Programming-An-Introduction-to-Computer-Science/114450369815?epid=30224704&hash=item1aa5c60d17:g:cU8AAOSw4CFYp-rr	
✅Automate the Boring Stuff with Python: Practical Programming for Total Beginner,$2.32,1,https://www.ebay.com/itm/Automate-the-Boring-Stuff-with-Python-Practical-Programming-for-Total-Beginner/233744085674?hash=item366c3bb2aa:g:zaEAAOSwkkRfhMkb	
Python Crash Course 2nd Edition Introduction Programming Eric Matthes (Digital),$3.99,0,https://www.ebay.com/itm/Python-Crash-Course-2nd-Edition-Introduction-Programming-Eric-Matthes-Digital/203140316208?hash=item2f4c1b3c30:g:TN4AAOSwq9Bfh21C	
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,$12.40,0,https://www.ebay.com/itm/Automate-the-Boring-Stuff-with-Python-Practical-Programming-for-Total-Beginners/303720202218?epid=201642099&hash=item46b7227fea:g:-BkAAOSwRXFfgIiI	
Automate the Boring Stuff with Python : Practical Programming for Total...,$15.00,0,https://www.ebay.com/itm/Automate-the-Boring-Stuff-with-Python-Practical-Programming-for-Total/224191416188?epid=201642099&hash=item3432d9877c:g:yssAAOSw4CFYqMhs	
