Name,Description,Link
aapatre ,"Do you want to LEARN NEW STUFF for FREE? Don't worry, with the power of web-scraping and automation, this script will find the necessary Udemy coupons & enroll you for PAID UDEMY COURSES, ABSOLUTELY FREE!",https://github.com/aapatre/Automatic-Udemy-Course-Enroller-GET-PAID-UDEMY-COURSES-for-FREE
willmcgugan ,Rich is a Python library for rich text and beautiful formatting in the terminal.,https://github.com/
Netflix ,"ConsoleMe consolidates the management of multiple AWS accounts into a single interface. It allows your end-users and administrators to get credentials for your different accounts, and allows your users/administrators to manage or request cloud permissions.",https://github.com/Netflix/consoleme
sherlock-project ,"🔎
Hunt down social media accounts by username across social networks",https://github.com/sherlock-project/sherlock
cascadium ,Adds linux GUI application menu to a windows toolbar,https://github.com/cascadium/wsl-windows-toolbar-launcher
iperov ,DeepFaceLab is the leading software for creating deepfakes.,https://github.com/iperov/DeepFaceLab
Jays-code-collection ,Contains all code related to using HMMs to predict stock market prices.,https://github.com/Jays-code-collection/HMMs_Stock_Market
microsoft ,Bringing Old Photo Back to Life (CVPR 2020 oral),https://github.com/microsoft/Bringing-Old-Photos-Back-to-Life
donnemartin ,Learn how to design large-scale systems. Prep for the system design interview. Includes Anki flashcards.,https://github.com/donnemartin/system-design-primer
iPERDance ,Liquid Warping GAN with Attention: A Unified Framework for Human Image Synthesis,https://github.com/iPERDance/iPERCore
bridgecrewio ,"Prevent cloud misconfigurations during build-time for Terraform, Cloudformation, Kubernetes, Serverless framework and other infrastructure-as-code-languages with Checkov by Bridgecrew.",https://github.com/bridgecrewio/checkov
junyanz ,Image-to-Image Translation in PyTorch,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix
Azure ,This repository is for active development of the Azure SDK for Python. For consumers of the SDK we recommend visiting our public developer docs at https://docs.microsoft.com/en-us/python/azure/ or our versioned developer docs at https://azure.github.io/azure-sdk-for-python.,https://github.com/Azure/azure-sdk-for-python
sting8k ,Burpsuite Extension to bypass 403 restricted directory,https://github.com/sting8k/BurpSuite_403Bypasser
readthedocs ,The source code that powers readthedocs.org,https://github.com/readthedocs/readthedocs.org
neuml ,AI-powered literature discovery and review engine for medical/scientific papers,https://github.com/neuml/paperai
Neo23x0 ,Generic Signature Format for SIEM Systems,https://github.com/Neo23x0/sigma
ultrasecurity ,"Tool Information Gathering & social engineering Write By [Python,JS,PHP]",https://github.com/ultrasecurity/DarkSide
geohot ,"You like pytorch? You like micrograd? You love tinygrad!
❤️",https://github.com/geohot/tinygrad
facebookresearch ,PyTorch extensions for high performance and large scale training.,https://github.com/facebookresearch/fairscale
internetarchive ,One webpage for every book ever published!,https://github.com/internetarchive/openlibrary
mingrammer ,"🎨
Diagram as Code for prototyping cloud system architectures",https://github.com/mingrammer/diagrams
jasmcaus ,"A lightweight, scalable, GPU-accelerated Computer Vision library for high-performance AI research.",https://github.com/jasmcaus/caer
ckan ,"CKAN is an open-source DMS (data management system) for powering data hubs and data portals. CKAN makes it easy to publish, share and use data. It powers catalog.data.gov, europeandataportal.eu/data, data.humdata.org among many other sites.",https://github.com/ckan/ckan
dmlc ,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",https://github.com/dmlc/dgl
